j g(j) i g(i) wl A A^a A/A^a f
223 2.000 1 2.000 11.9993 9.325E+09 1.081E+12 8.625E-03 2.013E-04
214 2.000 1 2.000 12.0026 7.395E+09 1.186E+12 6.236E-03 1.598E-04
325 2.000 1 2.000 11.9556 6.235E+09 6.701E+11 9.305E-03 1.335E-04
149 4.000 1 2.000 12.0764 3.038E+09 2.068E+12 1.469E-03 1.328E-04
465 2.000 1 2.000 11.8751 5.995E+09 1.434E+12 4.180E-03 1.268E-04
434 2.000 1 2.000 11.9200 5.690E+09 2.496E+12 2.280E-03 1.212E-04
221 4.000 1 2.000 12.0000 2.465E+09 1.252E+12 1.969E-03 1.064E-04
141 2.000 1 2.000 12.0825 4.524E+09 1.916E+12 2.361E-03 9.905E-05
21 2.000 1 2.000 12.6191 3.945E+09 1.033E+13 3.819E-04 9.420E-05
69 2.000 1 2.000 12.2389 3.878E+09 3.943E+12 9.833E-04 8.710E-05
76 2.000 1 2.000 12.2291 3.385E+09 4.597E+12 7.363E-04 7.590E-05
326 4.000 1 2.000 11.9552 1.538E+09 7.314E+11 2.102E-03 6.590E-05
229 4.000 1 2.000 11.9950 1.153E+09 2.732E+12 4.220E-04 4.973E-05
216 2.000 1 2.000 12.0018 1.986E+09 1.260E+12 1.576E-03 4.288E-05
334 4.000 1 2.000 11.9517 7.618E+08 7.989E+11 9.535E-04 3.263E-05
22 4.000 1 2.000 12.6184 5.113E+08 1.032E+13 4.953E-05 2.441E-05
77 4.000 1 2.000 12.2282 4.111E+08 4.692E+12 8.761E-05 1.843E-05
427 4.000 1 2.000 11.9445 4.240E+08 7.518E+09 5.640E-02 1.814E-05
116 4.000 1 2.000 12.1856 3.638E+08 2.152E+10 1.690E-02 1.620E-05
206 4.000 1 2.000 12.0557 2.830E+08 1.318E+10 2.147E-02 1.234E-05
225 4.000 1 2.000 11.9978 2.640E+08 1.254E+12 2.105E-04 1.140E-05
8 2.000 1 2.000 14.1724 3.682E+08 1.015E+14 3.629E-06 1.108E-05
28 2.000 1 2.000 12.5885 4.560E+08 1.153E+13 3.955E-05 1.084E-05
302 4.000 1 2.000 11.9861 1.957E+08 1.152E+10 1.699E-02 8.430E-06
134 4.000 1 2.000 12.1071 1.644E+08 2.019E+10 8.142E-03 7.225E-06
53 6.000 1 2.000 12.4984 8.412E+07 8.099E+11 1.039E-04 5.910E-06
358 4.000 1 2.000 11.9471 1.171E+08 4.828E+09 2.425E-02 5.010E-06
394 4.000 1 2.000 11.9448 8.385E+07 4.872E+09 1.721E-02 3.587E-06
113 4.000 1 2.000 12.1862 8.028E+07 1.993E+10 4.028E-03 3.575E-06
70 4.000 1 2.000 12.2383 7.142E+07 3.957E+12 1.805E-05 3.207E-06
198 4.000 1 2.000 12.0562 6.020E+07 1.107E+10 5.439E-03 2.624E-06
95 6.000 1 2.000 12.1948 3.820E+07 5.981E+11 6.387E-05 2.555E-06
492 4.000 1 2.000 11.8691 5.075E+07 5.774E+09 8.790E-03 2.144E-06
